"","ITAG","SGN_annotation","AGI","gene_name"
"1","Solyc01g005850.1.1",NA,NA,NA
"2","Solyc01g016560.1.1",NA,NA,NA
"3","Solyc01g089950.2.1",NA,NA,NA
"4","Solyc01g090490.1.1",NA,NA,NA
"5","Solyc01g094510.1.1",NA,NA,NA
"6","Solyc01g094590.2.1","Gibberellin 20-oxidase-like protein (AHRD V1 **-* Q9FGV8_ARATH); contains Interpro domain(s)  IPR005123  Oxoglutarate and iron-dependent oxygenase ","AT4G23340","oxidoreductase, 2OG-Fe(II) oxygenase family protein; similar to gibberellin 20-oxidase-related [Arabidopsis thaliana] (TAIR:AT5G51310.1); similar to 2OG-Fe(II) oxygenase [Medicago truncatula] (GB:ABD32837.1); contains InterPro domain Isopenicillin N synthase; (InterPro:IPR002283); contains InterPro domain 2OG-Fe(II) oxygenase; (InterPro:IPR005123)"
"7","Solyc01g098010.2.1","Acetyltransferase GNAT family protein expressed (AHRD V1 ***- Q852L7_ORYSJ); contains Interpro domain(s)  IPR000182  GCN5-related N-acetyltransferase ","AT3G22560","GCN5-related N-acetyltransferase (GNAT) family protein; similar to GCN5-related N-acetyltransferase (GNAT) family protein [Arabidopsis thaliana] (TAIR:AT2G32020.1); similar to Os03g0794400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001051539.1); similar to putative acetyltransferase [Oryza sativa (japonica cultivar-group)] (GB:AAO37986.1); similar to Os03g0664800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001050839.1); contains InterPro domain GCN5-related N-acetyltransferase; (InterPro:IPR000182)"
"8","Solyc01g101220.1.1",NA,NA,NA
"9","Solyc02g036430.1.1",NA,NA,NA
"10","Solyc02g081480.2.1",NA,NA,NA
"11","Solyc02g085090.1.1","Syntaxin (AHRD V1 ***- Q6X9V9_HORVD); contains Interpro domain(s)  IPR010989  t-SNARE ","AT2G18260","member of SYP11 Gene Family"
"12","Solyc03g059170.2.1","Unknown Protein (AHRD V1)","AT3G59780","similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G23060.1); similar to unknown protein [Oryza sativa (japonica cultivar-group)] (GB:BAD82172.1); similar to Os01g0896500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001045081.1); contains domain Rhodanese/Cell cycle control phosphatase (SSF52821)"
"13","Solyc03g098580.1.1",NA,NA,NA
"14","Solyc03g114300.2.1",NA,NA,NA
"15","Solyc03g118070.2.1",NA,NA,NA
"16","Solyc04g008940.2.1",NA,NA,NA
"17","Solyc04g009590.2.1",NA,NA,NA
"18","Solyc04g010070.2.1","Protein phosphatase 2A regulatory subunit B&apos-like protein (AHRD V1 ***- Q56WJ0_ARATH); contains Interpro domain(s)  IPR011992  EF-Hand type ","AT5G28850","calcium-binding EF hand family protein; similar to calcium-binding EF hand family protein [Arabidopsis thaliana] (TAIR:AT5G28900.1); similar to calcium-binding EF hand family protein, putative / protein phosphatase 2A 62 kDa B'' regulatory subunit, putative [Arabidopsis thaliana] (TAIR:AT5G44090.1); similar to calcium-binding EF-hand family protein [Arabidopsis thaliana] (TAIR:AT1G54450.1); similar to putative protein phosphatase 2A regulatory subunit [Oryza sativa (japonica cultivar-group)] (GB:AAK13162.1); similar to putative phosphatase subunit, 3'-partial [Oryza sativa] (GB:AAL31038.1); similar to putative protein phosphatase 2A 48 kDa regulatory subunit isoform 1 [Oryza sativa (japonica cultivar-group)] (GB:BAD34016.1); contains InterPro domain EF-Hand type; (InterPro:IPR011992); contains InterPro domain Calcium-binding EF-hand; (InterPro:IPR002048)"
"19","Solyc04g016230.2.1",NA,NA,NA
"20","Solyc04g016580.1.1",NA,NA,NA
"21","Solyc04g026360.2.1","AP-1 complex subunit mu (AHRD V1 ***- C6HEK5_AJECH); contains Interpro domain(s)  IPR011012  Longin-like ","AT1G60780","clathrin adaptor complexes medium subunit family protein; similar to clathrin adaptor complexes medium subunit family protein [Arabidopsis thaliana] (TAIR:AT1G10730.1); similar to clathrin-associated protein unc-101-like [Oryza sativa (japonica cultivar-group)] (GB:BAD81570.1); similar to Os01g0703600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001044001.1); similar to Os05g0543100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001056201.1); contains InterPro domain Clathrin adaptor complex, medium chain; (InterPro:IPR001392); contains InterPro domain Longin-like; (InterPro:IPR011012); contains InterPro domain Mu2 adaptin subunit (AP50) of AP2; (InterPro:IPR008968)"
