"","ITAG","SGN_annotation","AGI","gene_name"
"1","Solyc01g005420.2.1",NA,NA,NA
"2","Solyc01g005470.2.1","Cell number regulator 10 (AHRD V1 **-- D9HP26_MAIZE); contains Interpro domain(s)  IPR006461  Protein of unknown function Cys-rich ","AT1G14870","similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G35525.1); similar to Os02g0579800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001047231.1); similar to Uncharacterized Cys-rich domain [Medicago truncatula] (GB:ABE80519.1); similar to Os03g0830500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001051787.1); contains InterPro domain Protein of unknown function Cys-rich; (InterPro:IPR006461)"
"3","Solyc01g005870.1.1",NA,NA,NA
"4","Solyc01g014120.2.1",NA,NA,NA
"5","Solyc01g014140.2.1",NA,NA,NA
"6","Solyc01g057600.2.1",NA,NA,NA
"7","Solyc01g058060.1.1",NA,NA,NA
"8","Solyc01g066290.2.1",NA,NA,NA
"9","Solyc01g079940.2.1",NA,NA,NA
"10","Solyc01g080800.2.1","PBSP domain-containing protein (AHRD V1 **-- C9S7G7_VERA1); contains Interpro domain(s)  IPR007541  Plant Basic Secretory Protein ","AT2G15220","secretory protein, putative; similar to plant basic secretory protein (BSP) family protein [Arabidopsis thaliana] (TAIR:AT2G15130.1); similar to NtPRp27 [Nicotiana tabacum] (GB:BAA81904.1); contains InterPro domain Plant Basic Secretory Protein; (InterPro:IPR007541)"
"11","Solyc01g086670.2.1",NA,NA,NA
"12","Solyc01g087800.2.1",NA,NA,NA
"13","Solyc01g089890.2.1",NA,NA,NA
"14","Solyc01g091050.2.1","Pectinesterase (AHRD V1 ***- B9RD90_RICCO); contains Interpro domain(s)  IPR000070  Pectinesterase, catalytic ","AT2G45220","pectinesterase family protein; similar to pectinesterase family protein [Arabidopsis thaliana] (TAIR:AT5G51490.1); similar to pectinesterase (EC 3.1.1.11) PECS-c2 - sweet orange (GB:T10494); similar to Pectinesterase-2 precursor (Pectin methylesterase) (PE) (GB:O04887); contains InterPro domain Virulence factor, pectin lyase fold; (InterPro:IPR011050); contains InterPro domain Plant invertase/pectin methylesterase inhibitor; (InterPro:IPR007186); contains InterPro domain Pectinesterase; (InterPro:IPR000070); contains InterPro domain Pectinesterase inhibitor; (InterPro:IPR006501); contains InterPro domain Carbohydrate-binding and sugar hydrolysis; (InterPro:IPR006633)"
"15","Solyc01g095150.2.1","Late embryogenesis abundant protein (Fragment) (AHRD V1 **-- B7TGE2_PINSY); contains Interpro domain(s)  IPR013990  Water Stress and Hypersensitive response ","AT2G46140","late embryogenesis abundant protein, putative / LEA protein, putative; Identical to Desiccation-related protein At2g46140 (LEA type-2 family protein At2g46140) [Arabidopsis Thaliana] (GB:O82355;GB:Q8LC67); similar to LEA14 (LATE EMBRYOGENESIS ABUNDANT 14) [Arabidopsis thaliana] (TAIR:AT1G01470.1); similar to Chain A, Solution Structure Of A Putative Late Embryogenesis Abundant (Lea) Protein At2g46140.1 (GB:1YYC); contains InterPro domain Late embryogenesis abundant protein 2; (InterPro:IPR004864)"
"16","Solyc01g099180.2.1","Lipoxygenase (AHRD V1 **** Q9FT17_SOLLC); contains Interpro domain(s)  IPR001246  Lipoxygenase, plant ","AT1G55020","lipoxygenase, a defense gene conferring resistance Xanthomonas campestris"
"17","Solyc01g105070.2.1","Peroxidase (AHRD V1 **** Q43499_SOLLC); contains Interpro domain(s)  IPR002016  Haem peroxidase, plant/fungal/bacterial ","AT5G64120","encodes a cell wall bound peroxidase that is induced by hypo-osmolarity"
"18","Solyc01g108960.1.1",NA,NA,NA
