"","ITAG","SGN_annotation","AGI","gene_name"
"1","Solyc01g005420.2.1",NA,NA,NA
"2","Solyc01g005870.1.1",NA,NA,NA
"3","Solyc01g014140.2.1",NA,NA,NA
"4","Solyc01g057600.2.1",NA,NA,NA
"5","Solyc01g058060.1.1",NA,NA,NA
"6","Solyc01g066290.2.1",NA,NA,NA
"7","Solyc01g079940.2.1",NA,NA,NA
"8","Solyc01g080800.2.1","PBSP domain-containing protein (AHRD V1 **-- C9S7G7_VERA1); contains Interpro domain(s)  IPR007541  Plant Basic Secretory Protein ","AT2G15220","secretory protein, putative; similar to plant basic secretory protein (BSP) family protein [Arabidopsis thaliana] (TAIR:AT2G15130.1); similar to NtPRp27 [Nicotiana tabacum] (GB:BAA81904.1); contains InterPro domain Plant Basic Secretory Protein; (InterPro:IPR007541)"
"9","Solyc01g087800.2.1",NA,NA,NA
"10","Solyc01g089890.2.1",NA,NA,NA
"11","Solyc01g105070.2.1","Peroxidase (AHRD V1 **** Q43499_SOLLC); contains Interpro domain(s)  IPR002016  Haem peroxidase, plant/fungal/bacterial ","AT5G64120","encodes a cell wall bound peroxidase that is induced by hypo-osmolarity"
"12","Solyc01g109420.2.1","Flavoprotein wrbA (AHRD V1 ***- B6SPB2_MAIZE); contains Interpro domain(s)  IPR010089  Flavoprotein WrbA ","AT4G36750","quinone reductase family protein; similar to quinone reductase family protein [Arabidopsis thaliana] (TAIR:AT4G27270.1); similar to quinone reductase 2 [Triticum monococcum] (GB:AAW78582.1); similar to Os01g0784800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001044464.1); similar to Os10g0436800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001064672.1); contains InterPro domain Flavodoxin/nitric oxide synthase; (InterPro:IPR008254)"
"13","Solyc02g063260.2.1","Multidrug resistance protein mdtK (AHRD V1 ***- MDTK_ERWCT); contains Interpro domain(s)  IPR015521  MATE family transporter related protein ","AT1G71140","MATE efflux family protein; similar to MATE efflux family protein [Arabidopsis thaliana] (TAIR:AT1G15170.1); similar to Multi antimicrobial extrusion protein MatE [Medicago truncatula] (GB:ABE93671.1); similar to Os01g0684900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001043893.1); contains InterPro domain Multi antimicrobial extrusion protein MatE; (InterPro:IPR002528)"
"14","Solyc02g068820.1.1",NA,NA,NA
