"","ITAG","SGN_annotation","AGI","gene_name"
"1","Solyc00g009100.2.1","30S ribosomal protein S1-like (AHRD V1 ***- Q5ZC75_ORYSJ); contains Interpro domain(s)  IPR003029  Ribosomal protein S1, RNA binding domain ","AT1G71720","S1 RNA-binding domain-containing protein; similar to RPS1 (ribosomal protein S1), RNA binding [Arabidopsis thaliana] (TAIR:AT5G30510.1); similar to putative 30S ribosomal protein S1 [Oryza sativa (japonica cultivar-group)] (GB:AAT39212.1); similar to Os01g0589000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001043440.1); similar to Os05g0535800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001056159.1); contains InterPro domain Nucleic acid-binding, OB-fold, subgroup; (InterPro:IPR012340); contains InterPro domain Nucleic acid-binding, OB-fold; (InterPro:IPR008994); contains InterPro domain RNA binding S1; (InterPro:IPR003029)"
"2","Solyc00g323130.2.1",NA,NA,NA
"3","Solyc01g006380.2.1",NA,NA,NA
"4","Solyc01g007280.2.1","30S ribosomal protein S4 chloroplastic (AHRD V1 ***- B5MF80_PETIN); contains Interpro domain(s)  IPR005709  Ribosomal protein S4, bacterial-type ","ATCG00380","Chloroplast encoded ribosomal protein S4"
"5","Solyc01g007300.1.1","NAD(P)H-quinone oxidoreductase subunit K chloroplastic (AHRD V1 ***- D3WB90_9BORA); contains Interpro domain(s)  IPR006138  NADH:ubiquinone oxidoreductase, 20 kDa subunit ","ATCG00430","Encodes a protein which was originally thought to be part of photosystem II but its wheat homolog was later shown to encode for subunit K of NADH dehydrogenase."
"6","Solyc01g007400.1.1",NA,NA,NA
"7","Solyc01g007480.1.1",NA,NA,NA
"8","Solyc01g007540.2.1","Cytochrome b6-f complex subunit 4 (AHRD V1 ***- A1XFY6_NUPAD); contains Interpro domain(s)  IPR005870  Cytochrome b6/f complex, subunit IV ","ATCG00730","A chloroplast gene encoding subunit IV of the cytochrome b6/f complex"
"9","Solyc01g007660.2.1","NAD(P)H-quinone oxidoreductase subunit 2 chloroplastic (AHRD V1 ***- D3WB81_9BORA); contains Interpro domain(s)  IPR010096  NADH-quinone oxidoreductase, chain N ","ATCG01250","NADH dehydrogenase ND2"
"10","Solyc01g008920.2.1",NA,NA,NA
