"","ITAG","SGN_annotation","AGI","gene_name"
"1","Solyc00g052940.2.1","Nodulin-like protein (AHRD V1 **-- B6TIX8_MAIZE); contains Interpro domain(s)  IPR000620  Protein of unknown function DUF6, transmembrane ","AT5G64700","nodulin MtN21 family protein; similar to integral membrane family protein / nodulin MtN21-related [Arabidopsis thaliana] (TAIR:AT1G43650.1); similar to Protein of unknown function DUF6, transmembrane [Medicago truncatula] (GB:ABE81602.1); contains InterPro domain Protein of unknown function DUF6, transmembrane; (InterPro:IPR000620)"
"2","Solyc01g010080.2.1","Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4 (AHRD V1 **** HCN4_MOUSE); contains Interpro domain(s)  IPR000595  Cyclic nucleotide-binding ","AT4G32650","member of Stelar K+ outward rectifying channel (SKOR) family"
"3","Solyc01g099010.2.1",NA,NA,NA
"4","Solyc01g104900.2.1","NAC domain protein IPR003441 (AHRD V1 ***- B9GZS1_POPTR); contains Interpro domain(s)  IPR003441  No apical meristem (NAM) protein ","AT5G64530","ANAC104/XND1 (Arabidopsis NAC domain containing protein 104); transcription factor; similar to ANAC025 (Arabidopsis NAC domain containing protein 25), transcription factor [Arabidopsis thaliana] (TAIR:AT1G61110.1); similar to Os02g0555300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001047122.1); similar to H0315A08.3 [Oryza sativa (indica cultivar-group)] (GB:CAH67573.1); similar to OSJNBa0006B20.9 [Oryza sativa (japonica cultivar-group)] (GB:CAD40817.2); contains InterPro domain No apical meristem (NAM) protein; (InterPro:IPR003441)"
"5","Solyc01g107820.2.1","UDP-glucosyltransferase family 1 protein (AHRD V1 **** C6KI43_CITSI); contains Interpro domain(s)  IPR002213  UDP-glucuronosyl/UDP-glucosyltransferase ","AT4G34131","UGT73B3 (UDP-glucosyl transferase 73B3); UDP-glycosyltransferase/ abscisic acid glucosyltransferase/ transferase, transferring hexosyl groups; similar to UGT73B2, UDP-glucosyltransferase/ UDP-glycosyltransferase/ flavonol 3-O-glucosyltransferase [Arabidopsis thaliana] (TAIR:AT4G34135.1); similar to UGT73B1 (UDP-glucosyl transferase 73B1), UDP-glycosyltransferase/ abscisic acid glucosyltransferase [Arabidopsis thaliana] (TAIR:AT4G34138.1); similar to UGT73B5 (UDP-glucosyl transferase 73B5), UDP-glycosyltransferase/ transferase, transferring glycosyl groups [Arabidopsis thaliana] (TAIR:AT2G15480.1); similar to immediate-early salicylate-induced glucosyltransferase (GB:AAB36653.1); contains InterPro domain UDP-glucuronosyl/UDP-glucosyltransferase; (InterPro:IPR002213)"
"6","Solyc02g070890.2.1","Receptor like kinase, RLK","AT5G46330","Encodes a leucine-rich repeat serine/threonine protein kinase that is expressed ubiquitously. FLS2 is involved in MAP kinase signalling relay involved in innate immunity. Essential in the perception of flagellin, a potent elicitor of the defense response."
"7","Solyc02g085400.2.1","Os01g0786800 protein (Fragment) (AHRD V1 ***- Q0JIP0_ORYSJ); contains Interpro domain(s)  IPR002781  Protein of unknown function DUF81 ","AT2G25737","similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G36630.1); similar to unknown [Brassica napus] (GB:AAY63998.1); contains InterPro domain Protein of unknown function DUF81; (InterPro:IPR002781)"
"8","Solyc02g085760.2.1",NA,NA,NA
"9","Solyc02g092570.1.1","GRAS family transcription factor (AHRD V1 **-* B9GYX5_POPTR); contains Interpro domain(s)  IPR005202  GRAS transcription factor ","AT3G49950","scarecrow transcription factor family protein; similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G67411.1); similar to GRAS transcription factor [Medicago truncatula] (GB:ABE82519.1); contains InterPro domain GRAS transcription factor; (InterPro:IPR005202)"
"10","Solyc03g005770.1.1","Chlorophyll a-b binding protein 3C-like (AHRD V1 **** Q2XTE0_SOLTU); contains Interpro domain(s)  IPR001344  Chlorophyll A-B binding protein ","AT1G29930","Subunit of light-harvesting complex II (LHCII),which absorbs light and transfers energy to the photosynthetic reaction center."
"11","Solyc03g013440.2.1","Amino acid transporter family protein (AHRD V1 **** D7LM67_ARALY); contains Interpro domain(s)  IPR013057  Amino acid transporter, transmembrane ","AT5G15240","amino acid transporter family protein; similar to amino acid transporter family protein [Arabidopsis thaliana] (TAIR:AT3G28960.1); similar to Amino acid/polyamine transporter II [Medicago truncatula] (GB:ABD32522.1); contains InterPro domain Amino acid/polyamine transporter II; (InterPro:IPR002422); contains InterPro domain Amino acid transporter, transmembrane; (InterPro:IPR013057)"
"12","Solyc03g044820.2.1",NA,NA,NA
"13","Solyc04g005600.1.1",NA,NA,NA
"14","Solyc04g064870.2.1",NA,NA,NA
"15","Solyc05g009270.2.1","Fatty acid elongase 3-ketoacyl-CoA synthase (AHRD V1 **** Q6DUV5_BRANA); contains Interpro domain(s)  IPR012392  Very-long-chain 3-ketoacyl-CoA synthase ","AT1G68530","involved in wax biosynthesis; required for elongation of C24 very-long-chain fatty acids"
"16","Solyc06g006040.1.1",NA,NA,NA
"17","Solyc06g036100.2.1","Citrate transporter family protein (AHRD V1 ***- B6U1B5_MAIZE); contains Interpro domain(s)  IPR004680  Divalent ion symporter ","AT1G02260","transmembrane protein, putative; similar to Os03g0147400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001048962.1); similar to IMP dehydrogenase/GMP reductase [Medicago truncatula] (GB:ABE87631.1); contains InterPro domain Citrate transporter; (InterPro:IPR004680)"
"18","Solyc06g053260.1.1",NA,NA,NA
"19","Solyc06g068270.2.1","1-aminocyclopropane-1-carboxylate oxidase 1 (AHRD V1 **-* ACCO1_MALDO); contains Interpro domain(s)  IPR005123  Oxoglutarate and iron-dependent oxygenase ","AT1G49390","oxidoreductase, 2OG-Fe(II) oxygenase family protein; similar to oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] (TAIR:AT5G20400.1); similar to ethylene-forming-enzyme-like dioxygenase [Prunus armeniaca] (GB:AAB88878.1); contains InterPro domain 2OG-Fe(II) oxygenase; (InterPro:IPR005123)"
"20","Solyc07g056600.1.1",NA,NA,NA
"21","Solyc08g062180.1.1",NA,NA,NA
"22","Solyc08g076890.2.1",NA,NA,NA
"23","Solyc08g077000.1.1",NA,NA,NA
"24","Solyc08g079200.1.1",NA,NA,NA
"25","Solyc09g010020.2.1","1-aminocyclopropane-1-carboxylate oxidase-like protein (AHRD V1 **-* Q9LTH8_ARATH); contains Interpro domain(s)  IPR005123  Oxoglutarate and iron-dependent oxygenase ","AT1G06620","encodes a protein whose sequence is similar to a 2-oxoglutarate-dependent dioxygenase"
"26","Solyc09g011590.2.1",NA,NA,NA
"27","Solyc09g061700.2.1","Male sterility 5 family protein (Fragment) (AHRD V1 *--- B1Q393_BRAOT); contains Interpro domain(s)  IPR011990  Tetratricopeptide-like helical ","AT5G48850","male sterility MS5 family protein; similar to male sterility MS5 family protein [Arabidopsis thaliana] (TAIR:AT1G04770.1); similar to Os05g0506000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001055980.1); similar to unknown [Oryza sativa] (GB:AAC72543.1); contains InterPro domain Tetratricopeptide region; (InterPro:IPR013026); contains InterPro domain Tetratricopeptide TPR_2; (InterPro:IPR013105); contains InterPro domain Tetratricopeptide-like helical; (InterPro:IPR011990)"
"28","Solyc10g079350.1.1",NA,NA,NA
"29","Solyc11g061960.1.1",NA,NA,NA
