"","ITAG","SGN_annotation","AGI","gene_name"
"1","Solyc00g009090.2.1","Receptor like kinase, RLK","AT1G34110","leucine-rich repeat transmembrane protein kinase, putative; similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT3G24240.1); similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT5G48940.1); similar to ATP binding / protein serine/threonine kinase [Arabidopsis thaliana] (TAIR:AT5G56040.2); similar to putative Receptor-like protein kinase precursor [Oryza sativa (japonica cultivar-group)] (GB:BAD46328.1); similar to receptor protein kinase [Pinus sylvestris] (GB:CAC20842.1); similar to CLAVATA-like kinase [Triticum aestivum] (GB:CAJ19346.1); contains InterPro domain Serine/threonine protein kinase; (InterPro:IPR002290); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Leucine-rich repeat, typical subtype; (InterPro:IPR003591); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090); contains InterPro domain Serine/threonine protein kinase, active site; (InterPro:IPR008271); contains InterPro domain Leucine rich repeat, N-terminal; (InterPro:IPR013210)"
"2","Solyc01g010970.2.1","ARGONAUTE 1 (AHRD V1 ***- D6RUV9_TOBAC); contains Interpro domain(s)  IPR003165  Stem cell self-renewal protein Piwi ","AT1G69440","Encodes ARGONAUTE7, a member of the ARGONAUTE family, characterised by the presence of PAZ and PIWI domains. Involved in the regulation of developmental timing. Required for the accumulation of TAS3 ta-siRNAs but not for accumulation of miR171, miR173, miR390 or mi391.   Localized in mature rosette leaves and floral buds."
"3","Solyc01g058040.1.1","Gibberellin 2-oxidase (AHRD V1 ***- A4GVL5_SOLLC)","AT1G02400","Encodes a gibberellin 2-oxidase."
"4","Solyc01g058670.2.1",NA,NA,NA
"5","Solyc01g079950.2.1",NA,NA,NA
"6","Solyc01g087150.2.1","Mate efflux family protein (AHRD V1 **-- D7KHQ9_ARALY); contains Interpro domain(s)  IPR002528  Multi antimicrobial extrusion protein MatE ","AT3G08040","Encodes a member of the MATE (multidrug and toxin efflux family), expressed in roots but not shoots. Mutants accumulate excess iron, manganese and zinc, and express root Fe(III) chelatase activity even under iron sufficiency conditions. FRD3 is likely to function in root xylem loading of an iron chelator or other factor necessary for efficient iron uptake out of the xylem or apoplastic space and into leaf cells."
"7","Solyc01g091040.2.1","Cysteine-rich repeat secretory protein 15 (AHRD V1 ***- CRR15_ARATH); contains Interpro domain(s)  IPR002902  Protein of unknown function DUF26 ","AT3G60720","receptor-like protein kinase-related; similar to 33 kDa secretory protein-related [Arabidopsis thaliana] (TAIR:AT2G01660.1); similar to Os04g0537800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001053427.1); similar to receptor-like protein kinase-like [Oryza sativa (japonica cultivar-group)] (GB:BAD25786.1); contains InterPro domain Protein of unknown function DUF26; (InterPro:IPR002902)"
"8","Solyc01g091140.2.1",NA,NA,NA
"9","Solyc01g091400.2.1",NA,NA,NA
"10","Solyc01g091790.2.1",NA,NA,NA
"11","Solyc01g094360.2.1","MYB transcription factor (AHRD V1 *-** Q6R098_ARATH); contains Interpro domain(s)  IPR015495  Myb transcription factor ","AT3G61250","Member of the R2R3 factor gene family."
"12","Solyc01g097040.2.1",NA,NA,NA
"13","Solyc01g097630.1.1",NA,NA,NA
"14","Solyc01g098240.1.1",NA,NA,NA
"15","Solyc01g098940.2.1","Pectinesterase (AHRD V1 ***- B9RPV5_RICCO); contains Interpro domain(s)  IPR000070  Pectinesterase, catalytic ","AT3G10720","pectinesterase, putative; similar to pectinesterase, putative [Arabidopsis thaliana] (TAIR:AT5G04970.1); similar to papillar cell-specific pectin methylesterase-like protein [Brassica napus] (GB:AAK84428.1); similar to Os01g0311800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001042865.1); similar to putative pectinesterase [Oryza sativa (japonica cultivar-group)] (GB:AAT38097.1); contains InterPro domain Virulence factor, pectin lyase fold; (InterPro:IPR011050); contains InterPro domain Plant invertase/pectin methylesterase inhibitor; (InterPro:IPR007186); contains InterPro domain Pectinesterase; (InterPro:IPR000070)"
"16","Solyc01g099590.2.1",NA,NA,NA
"17","Solyc01g100300.2.1",NA,NA,NA
"18","Solyc01g100600.2.1",NA,NA,NA
"19","Solyc01g102340.2.1",NA,NA,NA
