"","ITAG","SGN_annotation","AGI","gene_name"
"1","Solyc00g100880.2.1",NA,NA,NA
"2","Solyc00g147770.1.1",NA,NA,NA
"3","Solyc00g187050.2.1","Leucyl aminopeptidase (AHRD V1 ***- D7DWG6_NOSA0); contains Interpro domain(s)  IPR011356  Peptidase M17, leucyl aminopeptidase ","AT4G30920","cytosol aminopeptidase family protein; Identical to Leucine aminopeptidase 3, chloroplast precursor (EC 3.4.11.1) (LAP 3) (Leucyl aminopeptidase 3) (Proline aminopeptidase 3) (EC 3.4.11.5) (Prolyl aminopeptidase 3) [Arabidopsis Thaliana] (GB:Q944P7;GB:O65557); similar to cytosol aminopeptidase [Arabidopsis thaliana] (TAIR:AT2G24200.1); similar to cytosol aminopeptidase family protein [Arabidopsis thaliana] (TAIR:AT4G30910.1); similar to Leucine aminopeptidase 2, chloroplast precursor (LAP 2) (Leucyl aminopeptidase 2) (Proline aminopeptidase 2) (Prolyl aminopeptidase 2) (GB:Q42876); similar to neutral leucine aminopeptidase preprotein; preLAP-N; metallo-exopeptidase; leucyl aminopeptidase; LAP [Lycopersicon esculentum] (GB:AAO15916.1); similar to Cytosol aminopeptidase family, catalytic domain, putative [Medicago truncatula] (GB:ABE88725.1); contains InterPro domain Peptidase M17, leucyl aminopeptidase, N-terminal; (InterPro:IPR008283); contains InterPro domain Peptidase M17, leucyl aminopeptidase, C-terminal; (InterPro:IPR000819)"
"4","Solyc01g006390.2.1",NA,NA,NA
"5","Solyc01g006410.2.1",NA,NA,NA
"6","Solyc01g057870.1.1",NA,NA,NA
"7","Solyc01g067220.1.1",NA,NA,NA
"8","Solyc01g079290.1.1",NA,NA,NA
"9","Solyc01g080960.2.1",NA,NA,NA
"10","Solyc01g087070.2.1","Mitochondrial ADP/ATP carrier proteins (AHRD V1 **** Q2UU95_ASPOR); contains Interpro domain(s)  IPR002113  Adenine nucleotide translocator 1 ","AT3G08580","mitochondrial ADP/ATP carrier"
"11","Solyc01g087450.2.1","Cyclin-like protein (AHRD V1 ***- Q6ZIX9_ORYSJ)","AT5G21080","similar to cyclin-related [Arabidopsis thaliana] (TAIR:AT2G41830.1); similar to putative cyclin-related protein [Malus x domestica] (GB:CAJ44368.1); similar to At1g05960/T21E18_20 [Medicago truncatula] (GB:ABE90589.1); similar to hypothetical protein MtrDRAFT_AC136506g30v1 [Medicago truncatula] (GB:ABE82339.1); contains domain UNCHARACTERIZED (PTHR12444)"
"12","Solyc01g088790.2.1","Regulatory protein (AHRD V1 **-- B6TR81_MAIZE)","AT1G28710","similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G28700.1); similar to Os03g0731800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001051166.1); similar to Putataive InsB from Escherichia coli [Oryza sativa (japonica cultivar-group)] (GB:AAN17394.1); similar to H0307D04.3 [Oryza sativa (indica cultivar-group)] (GB:CAH66858.1); contains domain (Trans)glycosidases (SSF51445); contains domain PENTATRICOPEPTIDE REPEAT-CONTAINING PROTEIN (PTHR10483)"
"13","Solyc01g090560.2.1",NA,NA,NA
"14","Solyc01g090740.2.1",NA,NA,NA
"15","Solyc01g091170.2.1","Agmatinase (AHRD V1 ***- Q1IPT1_ACIBL); contains Interpro domain(s)  IPR016160  Aldehyde dehydrogenase, conserved site  IPR006035  Ureohydrolase ","AT4G08900","arginase; Identical to Arginase (EC 3.5.3.1) [Arabidopsis Thaliana] (GB:P46637); similar to arginase, putative [Arabidopsis thaliana] (TAIR:AT4G08870.1); similar to ar (GB:AAK15006.1); contains InterPro domain Arginase/agmatinase/formiminoglutamase; (InterPro:IPR006035)"
"16","Solyc01g094870.1.1",NA,NA,NA
"17","Solyc01g095060.2.1","Unknown Protein (AHRD V1)","AT1G01500","similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G19400.2); similar to hypothetical protein [Oryza sativa (japonica cultivar-group)] (GB:AAN65010.1); similar to Os03g0775600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001051432.1); contains domain 2-HYDROXYACID DEHYDROGENASE (PTHR10996:SF1); contains domain 2-HYDROXYACID DEHYDROGENASE (PTHR10996)"
"18","Solyc01g095960.2.1",NA,NA,NA
