"","ITAG","SGN_annotation","AGI","gene_name"
"1","Solyc00g071180.2.1",NA,NA,NA
"2","Solyc00g188850.2.1","Glycosyltransferase CAZy family GT90 (Fragment) (AHRD V1 **-- D8R0N7_SELML); contains Interpro domain(s)  IPR008539  Protein of unknown function DUF821, CAP10-like ","AT3G48980","similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G23850.1); similar to OSIGBa0159I10.7 [Oryza sativa (indica cultivar-group)] (GB:CAH67462.1); similar to Os02g0642700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001047557.1); similar to Lipopolysaccharide-modifying protein [Medicago truncatula] (GB:ABD33425.1); contains InterPro domain Lipopolysaccharide-modifying protein; (InterPro:IPR006598); contains InterPro domain Protein of unknown function DUF821, CAP10-like; (InterPro:IPR008539)"
"3","Solyc01g006520.2.1",NA,NA,NA
"4","Solyc01g007980.2.1","RLK, Receptor like protein, putative resistance protein with an antifungal domain","AT1G70520","protein kinase family protein; similar to protein kinase family protein [Arabidopsis thaliana] (TAIR:AT1G70530.1); similar to Protein kinase domain containing protein, expressed [Oryza sativa (japonica cultivar-group)] (GB:ABA93633.2); similar to Os05g0130100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001054549.1); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Protein of unknown function DUF26; (InterPro:IPR002902); contains InterPro domain Serine/threonine protein kinase, active site; (InterPro:IPR008271)"
"5","Solyc01g010200.2.1",NA,NA,NA
"6","Solyc01g012560.1.1",NA,NA,NA
"7","Solyc01g017600.2.1","Plant viral-response family protein (AHRD V1 **-- B6SQA7_MAIZE); contains Interpro domain(s)  IPR006904  Protein of unknown function DUF716 ","AT1G55230","similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G55240.1); similar to Os09g0444900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001063301.1); similar to Os08g0462800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001061987.1); similar to plant viral-response family protein-like [Oryza sativa (japonica cultivar-group)] (GB:BAD38318.1); contains InterPro domain Protein of unknown function DUF716; (InterPro:IPR006904)"
"8","Solyc01g087580.2.1",NA,NA,NA
"9","Solyc01g089880.2.1",NA,NA,NA
"10","Solyc01g098590.2.1","Phosphoglycerate mutase family protein (AHRD V1 ***- C1DZH2_9CHLO); contains Interpro domain(s)  IPR013078  Phosphoglycerate mutase ","AT3G05170","phosphoglycerate/bisphosphoglycerate mutase family protein; similar to phosphoglycerate/bisphosphoglycerate mutase family protein [Arabidopsis thaliana] (TAIR:AT1G08940.1); similar to Os05g0141700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001054606.1); similar to Os06g0109000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001056573.1); similar to unknown [Streptomyces murayamaensis] (GB:AAO65326.1); contains InterPro domain Phosphoglycerate/bisphosphoglycerate mutase; (InterPro:IPR001345); contains InterPro domain Phosphoglycerate mutase; (InterPro:IPR013078)"
"11","Solyc01g102640.2.1",NA,NA,NA
"12","Solyc01g105180.2.1",NA,NA,NA
"13","Solyc01g105800.2.1",NA,NA,NA
"14","Solyc01g105850.2.1",NA,NA,NA
"15","Solyc01g107960.2.1",NA,NA,NA
"16","Solyc01g108240.2.1",NA,NA,NA
"17","Solyc02g005270.1.1",NA,NA,NA
"18","Solyc02g032250.1.1",NA,NA,NA
"19","Solyc02g072050.1.1","Os05g0272200 protein (Fragment) (AHRD V1 *-*- Q0DJJ5_ORYSJ)","AT2G47010","similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G17030.1); similar to hypothetical protein MtrDRAFT_AC136840g22v1 [Medicago truncatula] (GB:ABE82418.1)"
"20","Solyc02g072440.2.1",NA,NA,NA
"21","Solyc02g077430.2.1","Lipase-like (AHRD V1 ***- Q8RZ40_ORYSJ); contains Interpro domain(s)  IPR002921  Lipase, class 3 ","AT4G18550","lipase class 3 family protein; similar to lipase class 3 family protein [Arabidopsis thaliana] (TAIR:AT1G06250.1); similar to Ipomoea nil Pn47p (GB:AAB07724.1); similar to Os05g0574000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001056386.1); similar to Os05g0574100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001056387.1); contains InterPro domain Lipase, class 3; (InterPro:IPR002921)"
"22","Solyc02g077920.2.1","Squamosa promoter binding-like protein (AHRD V1 ***- Q0PY35_SOLLC); contains Interpro domain(s)  IPR004333  Transcription factor, SBP-box ","AT2G33810","Encodes a member of the SPL (squamosa-promoter binding protein-like)gene family, a novel gene family encoding DNA binding proteins and putative transcription factors.  Contains the SBP-box, which encodes the SBP-domain, required and sufficient for interaction with DNA. It binds DNA, may directly regulate AP1, and is involved in regulation of flowering and vegetative phase change.  Its temporal expression is regulated by the microRNA miR156.  The target site for the microRNA is in the 3'UTR."
"23","Solyc02g078320.1.1",NA,NA,NA
"24","Solyc02g079480.1.1",NA,NA,NA
"25","Solyc02g079610.2.1",NA,NA,NA
"26","Solyc02g082610.1.1",NA,NA,NA
"27","Solyc02g087280.2.1","Peptide transporter (AHRD V1 **-* A6YJX5_9MAGN); contains Interpro domain(s)  IPR000109  TGF-beta receptor, type I/II extracellular region ","AT5G14940","proton-dependent oligopeptide transport (POT) family protein; similar to proton-dependent oligopeptide transport (POT) family protein [Arabidopsis thaliana] (TAIR:AT3G01350.1); similar to TGF-beta receptor, type I/II extracellular re (GB:ABE79897.1); contains InterPro domain TGF-beta receptor, type I/II extracellular region; (InterPro:IPR000109)"
"28","Solyc02g088180.2.1","NAC domain protein (AHRD V1 ***- C0KLH1_PONTR); contains Interpro domain(s)  IPR003441  No apical meristem (NAM) protein ","AT5G61430","ANAC100/ATNAC5 (Arabidopsis NAC domain containing protein 100); transcription factor; similar to ANAC079/ANAC080/ATNAC4 (Arabidopsis NAC domain containing protein 79, Arabidopsis NAC domain containing protein 80), transcription factor [Arabidopsis thaliana] (TAIR:AT5G07680.1); similar to NAC5 protein [Glycine max] (GB:AAX85982.1); contains InterPro domain No apical meristem (NAM) protein; (InterPro:IPR003441)"
"29","Solyc02g089720.1.1","Endo-beta-1 3-glucanase (AHRD V1 ***- B5THH0_PNECA); contains Interpro domain(s)  IPR005200  Glycoside hydrolase, family 81 ","AT5G15870","glycosyl hydrolase family 81 protein; similar to glycosyl hydrolase family 81 protein [Arabidopsis thaliana] (TAIR:AT1G18310.1); similar to hypothetical protein [Cleome spinosa] (GB:ABD96863.1); similar to beta-glucan-binding protein 4 [Medicago truncatula] (GB:ABB69784.1); similar to putative beta-glucan elicitor receptor [Brassica napus] (GB:AAP42646.1); contains InterPro domain Glycoside hydrolase, family 81; (InterPro:IPR005200)"
"30","Solyc02g089770.2.1",NA,NA,NA
"31","Solyc02g092460.2.1","Speckle-type POZ protein (AHRD V1 *--- B5X432_SALSA); contains Interpro domain(s)  IPR000197  Zinc finger, TAZ-type ","AT5G67480","BT4 (BTB AND TAZ DOMAIN PROTEIN 4); protein binding / transcription regulator; similar to BT5 (BTB and TAZ domain protein 5), protein binding / transcription regulator [Arabidopsis thaliana] (TAIR:AT4G37610.1); similar to Zinc finger, TAZ-type; BTB/POZ [Medicago truncatula] (GB:ABE77424.1); contains InterPro domain Zinc finger, TAZ-type; (InterPro:IPR000197); contains InterPro domain BTB; (InterPro:IPR000210); contains InterPro domain BTB/POZ; (InterPro:IPR013069)"
"32","Solyc02g092880.2.1",NA,NA,NA
"33","Solyc03g006410.2.1",NA,NA,NA
"34","Solyc03g020030.2.1",NA,NA,NA
"35","Solyc03g034380.1.1",NA,NA,NA
"36","Solyc03g034390.1.1",NA,NA,NA
"37","Solyc03g044100.2.1","Peroxidase 5 (AHRD V1 **** B6E500_LITCN); contains Interpro domain(s)  IPR002016  Haem peroxidase, plant/fungal/bacterial ","AT4G37530","peroxidase, putative; Identical to Peroxidase 51 precursor (EC 1.11.1.7) (Atperox P51) (ATP37) (PER51) [Arabidopsis Thaliana] (GB:Q9SZE7;GB:Q8VYK8); similar to peroxidase 50 (PER50) (P50) (PRXR2) [Arabidopsis thaliana] (TAIR:AT4G37520.1); similar to peroxidase 1 [Artemisia annua] (GB:AAO45182.1); contains InterPro domain Haem peroxidase; (InterPro:IPR010255); contains InterPro domain Haem peroxidase, plant/fungal/bacterial; (InterPro:IPR002016); contains InterPro domain Plant peroxidase; (InterPro:IPR000823)"
"38","Solyc03g044980.1.1",NA,NA,NA
"39","Solyc03g078720.2.1",NA,NA,NA
"40","Solyc03g093080.2.1","Xyloglucan endotransglucosylase/hydrolase 9 (AHRD V1 **** C0IRG8_9ERIC); contains Interpro domain(s)  IPR016455  Xyloglucan endotransglucosylase/hydrolase ","AT4G25810","xyloglucan endotransglycosylase-related protein (XTR6)"
"41","Solyc03g093790.2.1","Cyclin-like (AHRD V1 **** Q6H3X9_ORYSJ); contains Interpro domain(s)  IPR012389  Negative regulatory factor PREG ","AT2G44740","CYCP4;1 (cyclin p4;1); cyclin-dependent protein kinase; similar to CYCP4,2 (CYCLIN P4,2), cyclin-dependent protein kinase [Arabidopsis thaliana] (TAIR:AT5G61650.1); similar to PREG-like protein [Picea mariana] (GB:AAC32127.1); similar to Os10g0563900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001065406.1); similar to Os04g0544200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001053459.1); contains InterPro domain Cyclin, N-terminal; (InterPro:IPR006671); contains InterPro domain Cyclin-like; (InterPro:IPR011028); contains InterPro domain Cyclin-related; (InterPro:IPR013763); contains InterPro domain Negative regulatory factor PREG; (InterPro:IPR012389)"
"42","Solyc03g094160.2.1","Metacaspase (AHRD V1 ***- A8NU42_COPC7); contains Interpro domain(s)  IPR011600  Peptidase C14, caspase catalytic ","AT1G02170","Metacaspase AtMCP1b. Arginine/lysine-specific cysteine protease activity. Induces apoptosis in yeast. Contains Pfam profile PF00656: ICE-like protease (caspase) p20 domain"
"43","Solyc03g098780.1.1",NA,NA,NA
"44","Solyc03g111080.2.1",NA,NA,NA
"45","Solyc03g112280.2.1","C2 domain-containing protein (AHRD V1 ***- D7MPJ8_ARALY); contains Interpro domain(s)  IPR004182  GRAM ","AT5G50170","C2 domain-containing protein / GRAM domain-containing protein; similar to C2 domain-containing protein / GRAM domain-containing protein [Arabidopsis thaliana] (TAIR:AT1G03370.1); similar to no pollen; Osnop [Oryza sativa (japonica cultivar-group)] (GB:AAU09489.1); similar to OSIGBa0106G07.15 [Oryza sativa (indica cultivar-group)] (GB:CAH67319.1); similar to OSJNBa0022H21.21 [Oryza sativa (japonica cultivar-group)] (GB:CAE05501.2); contains InterPro domain C2; (InterPro:IPR000008); contains InterPro domain C2 calcium/lipid-binding region, CaLB; (InterPro:IPR008973); contains InterPro domain GRAM; (InterPro:IPR004182)"
"46","Solyc03g114890.2.1","COBRA-like protein (AHRD V1 ***- B6E8Y8_9MYRT); contains Interpro domain(s)  IPR006918  Glycosyl-phosphatidyl inositol-anchored, plant ","AT5G15630","Encodes a member of the COBRA family, similar to phytochelatin synthetase. Involved in secondary cell wall biosynthesis. Mutants make smaller plants with reduced levels of cellulose and cell wall sugars."
"47","Solyc03g119250.2.1",NA,NA,NA
"48","Solyc03g121350.2.1","Anoctamin-like protein (AHRD V1 ***- D0MXY8_PHYIN); contains Interpro domain(s)  IPR007632  Protein of unknown function DUF590 ","AT1G73020","similar to PREDICTED: similar to CG15270-PA, isoform A, partial [Bos taurus] (GB:XP_614009.2); similar to Os01g0706700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001044018.1); contains InterPro domain Protein of unknown function DUF590; (InterPro:IPR007632)"
"49","Solyc04g005810.2.1",NA,NA,NA
"50","Solyc04g008900.2.1",NA,NA,NA
"51","Solyc04g009860.2.1","1-aminocyclopropane-1-carboxylate oxidase-like protein (AHRD V1 **-* Q9LTH8_ARATH); contains Interpro domain(s)  IPR005123  Oxoglutarate and iron-dependent oxygenase ","AT1G06620","encodes a protein whose sequence is similar to a 2-oxoglutarate-dependent dioxygenase"
"52","Solyc04g009890.1.1",NA,NA,NA
"53","Solyc04g011690.2.1",NA,NA,NA
"54","Solyc04g014530.1.1",NA,NA,NA
"55","Solyc04g048900.2.1","Calreticulin 2 calcium-binding protein (AHRD V1 **** A8HMC0_CHLRE); contains Interpro domain(s)  IPR009169  Calreticulin ","AT1G08450","Encodes calreticulin CRT3."
