"","ITAG","SGN_annotation","AGI","gene_name"
"1","Solyc01g065920.1.1",NA,NA,NA
"2","Solyc01g067330.2.1",NA,NA,NA
"3","Solyc01g080380.2.1","S-adenosylmethionine decarboxylase proenzyme (AHRD V1 **** Q7XZQ9_VITVI); contains Interpro domain(s)  IPR001985  S-adenosylmethionine decarboxylase ","AT5G18930","BUD2/SAMDC4 (BUSHY AND DWARF 2); adenosylmethionine decarboxylase; similar to SAMDC (S-ADENOSYLMETHIONINE DECARBOXYLASE) [Arabidopsis thaliana] (TAIR:AT3G02470.3); similar to putative S-adenosylmethionine decarboxylase [Oryza sativa (japonica cultivar-group)] (GB:AAS90647.1); contains InterPro domain S-adenosylmethionine decarboxylase; (InterPro:IPR001985)"
"4","Solyc02g062790.2.1",NA,NA,NA
"5","Solyc02g067380.2.1","Transcription factor style2.1 (AHRD V1 **-* B6CG45_SOLPN); contains Interpro domain(s)  IPR001092  Basic helix-loop-helix dimerisation region bHLH ","AT3G28857","transcription regulator; similar to PRE1 (PACLOBUTRAZOL RESISTANCE1), DNA binding / transcription factor [Arabidopsis thaliana] (TAIR:AT5G39860.1); similar to Os03g0171300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001049112.1); similar to hypothetical protein LOC_Os10g26460 [Oryza sativa (japonica cultivar-group)] (GB:ABB47567.1); contains InterPro domain Helix-loop-helix DNA-binding; (InterPro:IPR011598); contains InterPro domain Basic helix-loop-helix dimerisation region bHLH; (InterPro:IPR001092)"
"6","Solyc02g069190.2.1","Zinc transporter protein (AHRD V1 **** D5LMF9_9FABA); contains Interpro domain(s)  IPR004698  Zinc/iron permease, fungal and plant ","AT1G31260","member of Fe(II) transporter isolog family"
"7","Solyc02g077350.1.1",NA,NA,NA
"8","Solyc02g088170.1.1","Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7M7B4_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat ","AT5G15300","pentatricopeptide (PPR) repeat-containing protein; similar to pentatricopeptide (PPR) repeat-containing protein [Arabidopsis thaliana] (TAIR:AT3G29230.1); similar to Tetratricopeptide-like helical [Medicago truncatula] (GB:ABE79452.1); contains InterPro domain Pentatricopeptide repeat; (InterPro:IPR002885); contains InterPro domain Protein prenyltransferase; (InterPro:IPR008940); contains InterPro domain Tetratricopeptide-like helical; (InterPro:IPR011990)"
"9","Solyc02g088240.2.1","Xenotropic and polytropic retrovirus receptor (AHRD V1 **-- B2GU54_XENTR); contains Interpro domain(s)  IPR004342  EXS, C-terminal ","AT3G29060","similar to EXS family protein / ERD1/XPR1/SYG1 family protein [Arabidopsis thaliana] (TAIR:AT2G03260.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G14040.1); similar to EXS family protein / ERD1/XPR1/SYG1 family protein [Arabidopsis thaliana] (TAIR:AT2G03240.1); similar to SPX, N-terminal; EXS, C-terminal [Medicago truncatula] (GB:ABD32751.1); contains InterPro domain SPX, N-terminal; (InterPro:IPR004331); contains InterPro domain EXS, C-terminal; (InterPro:IPR004342)"
"10","Solyc02g089770.2.1",NA,NA,NA
"11","Solyc03g025330.2.1",NA,NA,NA
"12","Solyc03g043700.2.1","Armadillo/beta-catenin repeat family protein (AHRD V1 **-- D7L0H5_ARALY); contains Interpro domain(s)  IPR011989  Armadillo-like helical ","AT3G03440","armadillo/beta-catenin repeat family protein; similar to armadillo/beta-catenin repeat family protein [Arabidopsis thaliana] (TAIR:AT4G12710.1); similar to plakoglobin/armadillo/beta-catenin-like protein [Oryza sativa] (GB:AAQ13403.1); similar to Os01g0112500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001041814.1); contains InterPro domain Armadillo; (InterPro:IPR000225); contains InterPro domain Armadillo-like helical; (InterPro:IPR011989)"
"13","Solyc03g078800.2.1",NA,NA,NA
"14","Solyc03g111080.2.1",NA,NA,NA
"15","Solyc03g115600.2.1",NA,NA,NA
"16","Solyc04g049650.1.1",NA,NA,NA
"17","Solyc04g056450.2.1","Cyclopropane-fatty-acyl-phospholipid synthase (AHRD V1 ***- C7LRK7_DESBD); contains Interpro domain(s)  IPR003333  Cyclopropane-fatty-acyl-phospholipid synthase ","AT3G23510","cyclopropane fatty acid synthase, putative / CPA-FA synthase, putative; similar to cyclopropane fatty acid synthase-related [Arabidopsis thaliana] (TAIR:AT3G23480.1); similar to cyclopropane fatty acid synthase, putative / CPA-FA synthase, putative [Arabidopsis thaliana] (TAIR:AT3G23530.1); similar to cyclopropane-fatty-acyl-phospholipid synthase [Arabidopsis thaliana] (TAIR:AT3G23470.1); similar to cyclopropane fatty acid synthase [Gossypium hirsutum] (GB:AAT74601.1); similar to cyclopropane synthase [Sterculia foetida] (GB:AAM33848.1); similar to cyclopropane fatty acid synthase [Gossypium hirsutum] (GB:AAT74602.1); contains InterPro domain NAD-binding site; (InterPro:IPR000205); contains InterPro domain Adrenodoxin reductase; (InterPro:IPR000759); contains InterPro domain Cyclopropane-fatty-acyl-phospholipid synthase; (InterPro:IPR003333); contains InterPro domain SAM (and some other nucleotide) binding motif; (InterPro:IPR000051); contains InterPro domain Amine oxidase; (InterPro:IPR002937)"
"18","Solyc04g071680.1.1",NA,NA,NA
"19","Solyc04g072890.2.1","WD-40 repeat family protein (AHRD V1 **-- D7KN06_ARALY); contains Interpro domain(s)  IPR017986  WD40 repeat, region ","AT1G78070","WD-40 repeat family protein; similar to WD-40 repeat family protein [Arabidopsis thaliana] (TAIR:AT1G36070.1); similar to WD domain, G-beta repeat containing protein [Oryza sativa (japonica cultivar-group)] (GB:AAT85309.1)"
"20","Solyc04g074380.2.1","UDP-glucuronosyltransferase (AHRD V1 **-* Q5UB81_ARATH); contains Interpro domain(s)  IPR002213  UDP-glucuronosyl/UDP-glucosyltransferase ","AT1G22380","transcription factor/ transferase, transferring glycosyl groups; similar to UDP-glucoronosyl/UDP-glucosyl transferase family protein [Arabidopsis thaliana] (TAIR:AT1G22360.1); similar to UDP-glucoronosyl/UDP-glucosyl transferase family protein [Arabidopsis thaliana] (TAIR:AT1G22340.1); similar to UGT85A1 (UDP-glucosyl transferase 85A1), UDP-glycosyltransferase/ transferase, transferring glycosyl groups / transferase, transferring hexosyl groups [Arabidopsis thaliana] (TAIR:AT1G22400.1); similar to glycosyltransferase NTGT5b [Nicotiana tabacum] (GB:BAD93690.1); similar to glycosyltransferase NTGT5a [Nicotiana tabacum] (GB:BAD93689.1); contains InterPro domain UDP-glucuronosyl/UDP-glucosyltransferase; (InterPro:IPR002213)"
"21","Solyc05g056430.1.1",NA,NA,NA
"22","Solyc06g009900.1.1",NA,NA,NA
"23","Solyc06g063110.1.1",NA,NA,NA
"24","Solyc06g066240.2.1",NA,NA,NA
"25","Solyc07g006050.1.1",NA,NA,NA
