"","ITAG","SGN_annotation","AGI","gene_name"
"1","Solyc00g007000.1.1",NA,NA,NA
"2","Solyc00g010770.1.1",NA,NA,NA
"3","Solyc00g022090.1.1",NA,NA,NA
"4","Solyc01g049690.2.1","Transcriptional activator protein Pur-alpha (AHRD V1 ***- C1BSV9_9MAXI); contains Interpro domain(s)  IPR006628  PUR-alpha/beta/gamma, DNA/RNA-binding ","AT2G32080","similar to the conserved animal nuclear protein PUR alpha which was implicated in the control of gene transcription and DNA replication"
"5","Solyc01g056330.1.1","DNA-directed RNA polymerase subunit beta&apos&apos (AHRD V1 ***- D3WBD0_9BORA)","ATCG00170","RNA polymerase beta' subunit-2"
"6","Solyc01g080050.2.1","Transcription factor (Fragment) (AHRD V1 **-* D6MJZ9_9ASPA); contains Interpro domain(s)  IPR011598  Helix-loop-helix DNA-binding ","AT3G06120","basic helix-loop-helix (bHLH) family protein; similar to FMA (FAMA), DNA binding / transcription factor/ transcriptional activator [Arabidopsis thaliana] (TAIR:AT3G24140.1); similar to hypothetical protein [Oryza sativa (japonica cultivar-group)] (GB:AAW57801.1); contains InterPro domain Helix-loop-helix DNA-binding; (InterPro:IPR011598); contains InterPro domain Basic helix-loop-helix dimerisation region bHLH; (InterPro:IPR001092)"
"7","Solyc01g094050.1.1","Os04g0555600 protein (Fragment) (AHRD V1 ***- Q0JB55_ORYSJ)","AT2G45540","WD-40 repeat family protein / beige-related; similar to beige/BEACH domain-containing protein [Arabidopsis thaliana] (TAIR:AT3G60920.1); similar to Lysosomal trafficking regulator LYST and related BEACH and WD40 repeat proteins (ISS) [Ostreococcus tauri] (GB:CAL53426.1); similar to Os02g0663300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001047656.1); similar to OSJNBb0012E24.4 [Oryza sativa (japonica cultivar-group)] (GB:CAE01863.2); contains InterPro domain WD-40 repeat; (InterPro:IPR001680); contains InterPro domain Beige/BEACH; (InterPro:IPR000409); contains InterPro domain WD40-like; (InterPro:IPR011046); contains InterPro domain Concanavalin A-like lectin/glucanase; (InterPro:IPR008985)"
"8","Solyc01g094990.2.1","Glycosyltransferase-like protein (AHRD V1 **-- D8RX86_SELML); contains Interpro domain(s)  IPR006740  Protein of unknown function DUF604 ","AT4G23490","fringe-related protein; similar to transferase, transferring glycosyl groups [Arabidopsis thaliana] (TAIR:AT4G11350.1); similar to fringe-related protein [Arabidopsis thaliana] (TAIR:AT5G41460.1); similar to hypothetical protein [Trifolium pratense] (GB:BAE71200.1); contains InterPro domain Protein of unknown function DUF604; (InterPro:IPR006740)"
"9","Solyc01g111020.2.1",NA,NA,NA
"10","Solyc02g031950.2.1","Pathogenesis-related protein-like protein (AHRD V1 ***- Q8L9B0_ARATH)","AT1G78780","pathogenesis-related family protein; similar to pathogenesis-related protein-like protein [Medicago truncatula] (GB:ABE85366.1); contains domain NTF2-like (SSF54427)"
"11","Solyc02g077070.2.1",NA,NA,NA
"12","Solyc02g081000.1.1",NA,NA,NA
"13","Solyc02g082070.2.1",NA,NA,NA
"14","Solyc02g085320.1.1",NA,NA,NA
"15","Solyc02g085550.1.1",NA,NA,NA
"16","Solyc03g025100.1.1",NA,NA,NA
"17","Solyc03g059200.1.1",NA,NA,NA
"18","Solyc03g080110.2.1",NA,NA,NA
"19","Solyc03g097700.2.1",NA,NA,NA
"20","Solyc03g111530.2.1",NA,NA,NA
"21","Solyc03g116230.2.1",NA,NA,NA
"22","Solyc03g116270.2.1",NA,NA,NA
"23","Solyc04g007680.2.1",NA,NA,NA
"24","Solyc04g015820.1.1",NA,NA,NA
"25","Solyc04g026320.1.1","Ycf2 (AHRD V1 ***- A6YA39_9MAGN); contains Interpro domain(s)  IPR008543  Chloroplast Ycf2 ","ATCG01280","Identical to Protein ycf2 (ycf2-B) [Arabidopsis Thaliana] (GB:P56786); similar to hypothetical chloroplast RF2 [Vitis vinifera] (GB:YP_567121.1); similar to Hypothetical protein [Gossypium barbadense] (GB:BAF41290.1); similar to hypothetical chloroplast RF2 [Gossypium hirsutum] (GB:YP_538978.1); contains InterPro domain Chloroplast Ycf2; (InterPro:IPR008543); contains InterPro domain AAA ATPase; (InterPro:IPR003593); contains InterPro domain AAA ATPase, central region; (InterPro:IPR003959)"
"26","Solyc05g008960.2.1",NA,NA,NA
"27","Solyc05g053660.1.1","BHLH transcription factor (AHRD V1 *-** Q401N4_9LILI); contains Interpro domain(s)  IPR011598  Helix-loop-helix DNA-binding ","AT3G24140","Encodes a basic helix-loop-helix transcription factor whose activity is required to promote differentiation of stomatal guard cells and to halt proliferative divisions in their immediate precursors.  Both transcript and protein are expressed in and are required for halting divisions at the end of the stomatal lineage.  It also has a role in the promotion of guard cell fate."
"28","Solyc06g065660.1.1",NA,NA,NA
"29","Solyc06g066560.1.1","Aquaporin (AHRD V1 ***- O81186_VERFO); contains Interpro domain(s)  IPR012269  Aquaporin ","AT3G16240","Delta tonoplast intrinsic protein, functions as a water channel and ammonium (NH3) transporter. Highly expressed in flower, shoot, and stem. Expression shows diurnal regulation and is induced by ammonium (NH3). Protein localized to vacuolar membrane."
"30","Solyc06g074040.1.1","NHL1 (Fragment) (AHRD V1 **-- B0LZH6_ARATH); contains Interpro domain(s)  IPR010847  Harpin-induced 1 ","AT3G44220","harpin-induced family protein / HIN1 family protein / harpin-responsive family protein; similar to harpin-induced family protein / HIN1 family protein / harpin-responsive family protein [Arabidopsis thaliana] (TAIR:AT5G22200.1); similar to Os12g0159600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001066211.1); similar to H0913C04.12 [Oryza sativa (indica cultivar-group)] (GB:CAJ86171.1); similar to Os11g0157200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001065799.1); contains InterPro domain Harpin-induced 1; (InterPro:IPR010847)"
"31","Solyc06g074560.1.1",NA,NA,NA
"32","Solyc06g082050.1.1",NA,NA,NA
"33","Solyc07g005770.2.1",NA,NA,NA
"34","Solyc07g021380.1.1","ATP synthase subunit b, chloroplastic (AHRD V1 ***- ATPF_SOLTU); contains Interpro domain(s)  IPR002146  ATPase, F0 complex, subunit B/B', bacterial and chloroplast ","ATCG00130","ATPase F subunit."
"35","Solyc08g028950.1.1","DNA-directed RNA polymerase subunit beta&apos; (AHRD V1 ***- RPOC1_TOBAC); contains Interpro domain(s)  IPR006592  RNA polymerase, N-terminal ","ATCG00180","RNA polymerase beta' subunit-1"
"36","Solyc08g077820.2.1",NA,NA,NA
"37","Solyc08g079190.1.1",NA,NA,NA
"38","Solyc08g081380.2.1","At5g63850-like protein (Fragment) (AHRD V1 *-*- Q3YI76_ARALY); contains Interpro domain(s)  IPR000210  BTB/POZ-like ","AT1G63850","PRLI-interacting factor-related; similar to PRLI-interacting factor-related [Arabidopsis thaliana] (TAIR:AT5G60050.1); similar to Os04g0579700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001053645.1); similar to predicted protein [Populus alba x Populus tremula] (GB:AAR14275.1); contains InterPro domain BTB; (InterPro:IPR000210)"
"39","Solyc09g005630.2.1","Os03g0291800 protein (Fragment) (AHRD V1 **-- Q0DSS4_ORYSJ); contains Interpro domain(s)  IPR004253  Protein of unknown function DUF231, plant ","AT5G01360","similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G55990.1); similar to Protein of unknown function DUF231, plant [Medicago truncatula] (GB:ABE79610.1); contains InterPro domain Protein of unknown function DUF231, plant; (InterPro:IPR004253)"
"40","Solyc09g055950.1.1","Photosystem II D2 protein (AHRD V1 ***- D3WE71_9MAGN); contains Interpro domain(s)  IPR000484  Photosynthetic reaction centre, L/M ","ATCG00270","PSII D2 protein"
"41","Solyc09g064170.1.1",NA,NA,NA
"42","Solyc09g091520.1.1","60S acidic ribosomal protein P0 (AHRD V1 ***- D7LEE5_ARALY); contains Interpro domain(s)  IPR001790  Ribosomal protein L10 ","AT2G40010","60S acidic ribosomal protein P0 (RPP0A); Identical to 60S acidic ribosomal protein P0-1 (RPP0A) [Arabidopsis Thaliana] (GB:O04204); similar to 60S acidic ribosomal protein P0 (RPP0B) [Arabidopsis thaliana] (TAIR:AT3G09200.1); similar to Ribosomal protein L10; Ribosomal protein 60S [Medicago truncatula] (GB:ABE83633.1); contains InterPro domain Ribosomal protein L10; (InterPro:IPR001790); contains InterPro domain Ribosomal protein 60S; (InterPro:IPR001813)"
"43","Solyc09g091630.1.1",NA,NA,NA
"44","Solyc10g044560.1.1","ATP synthase subunit a chloroplastic (AHRD V1 **** D3WAR6_AUCJA); contains Interpro domain(s)  IPR000568  ATPase, F0 complex, subunit A ","ATCG00150","Encodes a subunit of ATPase complex CF0, which is a proton channel that supplies the proton motive force to drive ATP synthesis by CF1 portion of the complex."
"45","Solyc10g052680.1.1",NA,NA,NA
"46","Solyc10g076830.1.1","Laccase 1a (AHRD V1 ***- B9IG56_POPTR); contains Interpro domain(s)  IPR017761  Laccase ","AT2G38080","Encodes a protein with similarity to putative laccase, a member of laccase family (17 members in Arabidopsis). Might be involved in cell wall biosynthesis. Mutants have a mild irregular xylem phenotype."
"47","Solyc10g085610.1.1","Calmodulin binding protein (AHRD V1 **-- B6SL12_MAIZE); contains Interpro domain(s)  IPR000048  IQ calmodulin-binding region ","AT3G52870","calmodulin-binding family protein; similar to calmodulin-binding family protein [Arabidopsis thaliana] (TAIR:AT3G13600.1); similar to transposon protein, putative, unclassified [Oryza sativa (japonica cultivar-group)] (GB:AAX92763.1); similar to transposon protein, putative, unclassified [Oryza sativa (japonica cultivar-group)] (GB:AAX94831.1); similar to Os12g0149900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001066163.1); contains InterPro domain IQ calmodulin-binding region; (InterPro:IPR000048)"
"48","Solyc11g008880.1.1",NA,NA,NA
"49","Solyc11g018710.1.1",NA,NA,NA
"50","Solyc11g021220.1.1","NAD(P)H-quinone oxidoreductase subunit I chloroplastic (AHRD V1 ***- B2XW67_9ASTR); contains Interpro domain(s)  IPR004497  NADH-plastoquinone oxidoreductase, subunit I ","ATCG01090","Encodes subunit of the chloroplast NAD(P)H dehydrogenase complex"
"51","Solyc12g013770.1.1","Mannan endo-1 4-beta-mannosidase (AHRD V1 ***- A8FDC6_BACP2); contains Interpro domain(s)  IPR001547  Glycoside hydrolase, family 5 ","AT5G66460","(1-4)-beta-mannan endohydrolase, putative; similar to (1-4)-beta-mannan endohydrolase, putative [Arabidopsis thaliana] (TAIR:AT3G10890.1); similar to hypothetical protein [Thellun (GB:ABB45852.1); contains InterPro domain Glycoside hydrolase, family 5; (InterPro:IPR001547)"
"52","Solyc12g019100.1.1","Valyl-tRNA synthetase (AHRD V1 ***- A7NGB2_ROSCS); contains Interpro domain(s)  IPR002303  Valyl-tRNA synthetase, class Ia ","AT5G16715","EMB2247 (EMBRYO DEFECTIVE 2247); ATP binding / aminoacyl-tRNA ligase; similar to TWN2 (TWIN 2), ATP binding / aminoacyl-tRNA ligase [Arabidopsis thaliana] (TAIR:AT1G14610.1); similar to putative valyl-tRNA synthetase [Oryza sativa (japonica cultivar-group)] (GB:BAC83606.1); similar to valyl-tRNA synthetase [Roseiflexus castenholzii DSM 13941] (GB:ZP_01531202.1); similar to Isoleucyl-tRNA synthetase (ISS) [Ostreococcus tauri] (GB:CAL55105.1); contains InterPro domain Aminoacyl-tRNA synthetase, class I; (InterPro:IPR001412); contains InterPro domain tRNA synthetase, valyl/leucyl, anticodon-binding; (InterPro:IPR013155); contains InterPro domain Valyl-tRNA synthetase, class Ia; (InterPro:IPR002303); contains InterPro domain Aminoacyl-tRNA synthetase, class Ia; (InterPro:IPR002300); contains InterPro domain Aminoacyl-tRNA synthetase, class 1a, anticodon-binding; (InterPro:IPR009080); contains InterPro domain tRNA-binding arm; (InterPro:IPR010978)"
"53","Solyc12g088870.1.1",NA,NA,NA
