"","ITAG","SGN_annotation","AGI","gene_name"
"1","Solyc00g275310.1.1",NA,NA,NA
"2","Solyc01g006780.2.1",NA,NA,NA
"3","Solyc01g010150.2.1","Unknown protein DS12 from 2D-PAGE of leaf, chloroplastic (AHRD V1 *--- UP12_ORYSJ); contains Interpro domain(s)  IPR002912  Amino acid-binding ACT ","AT1G69040","ACT-domain containing protein involved in feedback regulation of amino acid metabolism"
"4","Solyc01g010430.2.1","cDNA clone J023121M11 full insert sequence (AHRD V1 **-- B7F743_ORYSJ); contains Interpro domain(s)  IPR007679  Protein of unknown function DUF569 ","AT3G28630","similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G59710.1); similar to Cytosolic fatty-acid binding; Actin-crosslinking proteins [Medicago truncatula] (GB:ABE82702.1); contains InterPro domain Protein of unknown function DUF569; (InterPro:IPR007679); contains InterPro domain Actin-crosslinking proteins; (InterPro:IPR008999)"
"5","Solyc01g010600.2.1",NA,NA,NA
"6","Solyc01g058030.1.1","Gibberellin 2-oxidase (AHRD V1 **** A4GVL5_SOLLC); contains Interpro domain(s)  IPR005123  Oxoglutarate and iron-dependent oxygenase ","AT1G47990","Encodes a gibberellin 2-oxidase. AtGA2OX4 expression is responsive to cytokinin and KNOX activities."
"7","Solyc01g065490.2.1","Aldo/keto reductase (AHRD V1 **-- A2Q5A8_MEDTR); contains Interpro domain(s)  IPR001395  Aldo/keto reductase ","AT1G60690","aldo/keto reductase family protein; similar to ATB2, oxidoreductase [Arabidopsis thaliana] (TAIR:AT1G60710.1); similar to aldo/keto reductase AKR [Manihot esculenta] (GB:AAX84672.1); contains InterPro domain Aldo/keto reductase; (InterPro:IPR001395)"
"8","Solyc01g065740.2.1",NA,NA,NA
"9","Solyc01g066820.2.1","Kinesin like protein (AHRD V1 ***- Q940B8_ARATH); contains Interpro domain(s)  IPR001752  Kinesin, motor region ","AT3G16630","Kinesin-13A localized to entire Golgi stacks. Involved in trichome development."
"10","Solyc01g067040.1.1",NA,NA,NA
