"","ITAG","SGN_annotation","AGI","gene_name"
"1","Solyc00g278110.2.1","CER1 (AHRD V1 **-- B6TFH3_MAIZE)","AT2G37700","CER1 protein, putative; similar to CER1 protein, putative [Arabidopsis thaliana] (TAIR:AT1G02190.1); similar to Sterol desaturase [Medicago truncatula] (GB:ABD28319.1); contains InterPro domain SUR2-type hydroxylase/desaturase, catalytic region; (InterPro:IPR006087); contains InterPro domain Sterol desaturase; (InterPro:IPR006088)"
"2","Solyc01g067120.2.1",NA,NA,NA
"3","Solyc01g081060.2.1","Xyloglucan endotransglucosylase/hydrolase 14 (AHRD V1 **** C0IRH3_ACTDE); contains Interpro domain(s)  IPR016455  Xyloglucan endotransglucosylase/hydrolase ","AT1G32170","xyloglucan endotransglycosylase-related protein (XTR4)"
"4","Solyc01g087710.2.1","Uncharacterized membrane protein (AHRD V1 ***- A5GLU3_SYNPW); contains Interpro domain(s)  IPR005134  Uncharacterised protein family UPF0114 ","AT5G13720","structural constituent of ribosome; similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G19390.1); similar to Os07g0656700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001060506.1); similar to Os07g0656600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001060505.1); similar to putative integral membrane protein [Methanococcus maripaludis S2] (GB:NP_987845.1); contains InterPro domain Uncharacterized protein UPF0114; (InterPro:IPR005134); contains InterPro domain Ribosomal protein L14b/L23e; (InterPro:IPR000218)"
"5","Solyc01g088430.2.1","CER1 (AHRD V1 **-- B6TFH3_MAIZE); contains Interpro domain(s)  IPR006694  Fatty acid hydroxylase ","AT1G02205","Expression of the CER1 gene associated with production of stem epicuticular wax and pollen fertility. Biochemical studies showed that cer1 mutants are blocked in the conversion of stem wax C30 aldehydes to C29 alkanes, and they also lack the secondary alcohols and ketones. These suggested the CER1 protein is a aldehyde decarbonylase."
"6","Solyc01g091660.2.1","Alcohol dehydrogenase (Fragment) (AHRD V1 ***- Q6R4X9_ZEAMM); contains Interpro domain(s)  IPR002347  Glucose/ribitol dehydrogenase ","AT2G47140","short-chain dehydrogenase/reductase (SDR) family protein; similar to short-chain dehydrogenase/reductase (SDR) family protein [Arabidopsis thaliana] (TAIR:AT2G47130.1); similar to 3-beta hydroxysteroid dehydrogenase [Di (GB:AAV68714.1); contains InterPro domain Short-chain dehydrogenase/reductase SDR; (InterPro:IPR002198); contains InterPro domain Glucose/ribitol dehydrogenase; (InterPro:IPR002347)"
"7","Solyc01g091670.2.1","Progesterone 5-beta-reductase (AHRD V1 ***- D6N9X0_NEROL); contains Interpro domain(s)  IPR016040  NAD(P)-binding domain ","AT4G24220","encodes a novel protein containing mammalian death domain involved in programmed cell death. Gene is expressed in vascular system and mutants carrying dominant mutation in the gene have defective vascular patterning. Gene expression is induced specifically by wounding."
"8","Solyc01g094090.2.1","Enoyl-CoA-hydratase (AHRD V1 ***- Q9SE41_AVIMR); contains Interpro domain(s)  IPR001753  Crotonase, core ","AT5G65940","hydrolyzes beta-hydroxyisobutyryl-CoA"
"9","Solyc01g094100.2.1","Cytochrome P450","AT2G45510","member of CYP704A"
"10","Solyc01g107900.2.1",NA,NA,NA
"11","Solyc02g031920.2.1","Pathogen-related protein related (AHRD V1 ***- Q2HSD5_MEDTR)","AT1G78780","pathogenesis-related family protein; similar to pathogenesis-related protein-like protein [Medicago truncatula] (GB:ABE85366.1); contains domain NTF2-like (SSF54427)"
"12","Solyc02g031930.2.1",NA,NA,NA
