"","ITAG","SGN_annotation","AGI","gene_name"
"1","Solyc00g093000.1.1",NA,NA,NA
"2","Solyc01g008800.1.1",NA,NA,NA
"3","Solyc01g058010.2.1","Neutral invertase (AHRD V1 ***- A7LH71_VITVI); contains Interpro domain(s)  IPR006937  Plant neutral invertase ","AT3G06500","beta-fructofuranosidase, putative / invertase, putative / saccharase, putative / beta-fructosidase, putative; similar to beta-fructofuranosidase, putative / invertase, putative / saccharase, putative / beta-fructosidase, putative [Arabidopsis thaliana] (TAIR:AT1G56560.1); similar to beta-fructofuranosidase, putative / invertase, putative / saccharase, putative / beta-fructosidase, putative [Arabidopsis thaliana] (TAIR:AT5G22510.1); similar to beta-fructofuranosidase, putative / invertase, putative / saccharase, putative / beta-fructosidase, putative [Arabidopsis thaliana] (TAIR:AT3G05820.1); similar to invertase [Oryza sativa (indica cultivar-group)] (GB:AAO25633.1); similar to neutral invertase [Daucus carota] (GB:CAA76145.1); similar to Plant neutral invertase; Glycoside transferase, six-hairpin [Medicago truncatula] (GB:ABE94613.1); contains InterPro domain Six-hairpin glycosidase; (InterPro:IPR008928); contains InterPro domain Plant neutral invertase; (InterPro:IPR006937)"
"4","Solyc01g099000.1.1","Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7L3T5_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat ","AT3G05340","pentatricopeptide (PPR) repeat-containing protein; similar to pentatricopeptide (PPR) repeat-containing protein [Arabidopsis thaliana] (TAIR:AT3G25970.1); similar to PPR986-12 [Physcomitrella patens] (GB:BAD67155.1); contains InterPro domain Pentatricopeptide repeat; (InterPro:IPR002885); contains InterPro domain Protein prenyltransferase; (InterPro:IPR008940); contains InterPro domain Tetratricopeptide-like helical; (InterPro:IPR011990)"
"5","Solyc01g099500.1.1",NA,NA,NA
"6","Solyc01g100710.2.1",NA,NA,NA
"7","Solyc01g105490.2.1",NA,NA,NA
"8","Solyc01g105620.2.1",NA,NA,NA
"9","Solyc01g106410.1.1",NA,NA,NA
"10","Solyc01g108540.2.1",NA,NA,NA
"11","Solyc01g110200.1.1",NA,NA,NA
"12","Solyc02g043810.2.1","Phosphatidylinositol binding clathrin assembly protein like (AHRD V1 *-** Q6AXI5_DANRE); contains Interpro domain(s)  IPR011417  ANTH ","AT5G57200","epsin N-terminal homology (ENTH) domain-containing protein / clathrin assembly protein-related; Identical to Putative clathrin assembly protein At5g57200 [Arabidopsis Thaliana] (GB:Q9LVD8); similar to epsin N-terminal homology (ENTH) domain-containing protein [Arabidopsis thaliana] (TAIR:AT4G25940.1); similar to Carbamoyl-phosphate synthase L chain, ATP-binding; ANTH [Medicago truncatula] (GB:ABE84582.1); contains InterPro domain Epsin, N-terminal; (InterPro:IPR001026); contains InterPro domain ANTH; (InterPro:IPR011417); contains InterPro domain Phosphoinositide-binding clathrin adaptor, N-terminal; (InterPro:IPR008943)"
"13","Solyc02g063400.1.1",NA,NA,NA
